title,description,component
"Trash not being expunged, Trash Emptier thread gone by NPE","We noticed that the users' trash were not being expunged by the namenode.   jstack didn't show the Trash.Emptier thread and .out file showed   Exception in thread ""Trash Emptier"" java.lang.NullPointerException   at org.apache.hadoop.fs.Trash.expunge(Trash.java:146)   at org.apache.hadoop.fs.Trash$Emptier.run(Trash.java:233)   at java.lang.Thread.run(Thread.java:619)   It seems like this happens when it hits the user's directory which doesn't contain the .Trash.",fs
SocketOutputStream.close() should close the channel.,None,ipc
URLStreamHandler for the DFS,"This issue aims at providing a handler to resolve DFS URLs (""hdfs://host:port/file/to/path""), so that such URLs can be read using the URL API (mainly {{InputStream url.openStream()}}).  This allows the use of a {{URLClassLoader}} which would serve classes directly from the DFS. ",util
"[HOD] If a cluster directory is specified as a relative path, an existing script.exitcode file will not be deleted.","Create a cluster directory, and use it in a script which fails so that the script.exitcode file is created in this directory Now using the same directory, try to use the script option again, specifying the cluster directory as a relative path. This will fail to remove the script.exitcode file.",contrib/hod
[HOD] Minor changes to unit tests,"HADOOP-2899 and HADOOP-2936 introduced minor problems in their unit tests that should be fixed.  As per HADOOP-2899: There's an incorrect hardcoded error message. Also, a test data uses a user name which should be changed. As per HADOOP-2936: Temporary testing directories are being left behind after some tests run.",contrib/hod
distcp fails for files with zero length,"distcp fails for files with zero length. This is a regression from 0.15.3  distcp hftp://<namenode:port>/dir1/file1 file2          08/03/24 23:09:45 INFO util.CopyFiles: srcPaths=[hftp://<namenode:port>/dir1/file1] 08/03/24 23:09:45 INFO util.CopyFiles: destPath=file2 08/03/24 23:09:45 INFO util.CopyFiles: srcCount=1 08/03/24 23:09:46 INFO mapred.JobClient: Running job: job_200803242306_0001 08/03/24 23:09:47 INFO mapred.JobClient:  map 0% reduce 0% 08/03/24 23:10:01 INFO mapred.JobClient: Task Id : task_200803242306_0001_m_000000_0, Status : FAILED java.io.IOException: Copied: 0 Skipped: 0 Failed: 1         at org.apache.hadoop.util.CopyFiles$FSCopyFilesMapper.close(CopyFiles.java:448)         at org.apache.hadoop.mapred.MapRunner.run(MapRunner.java:53)         at org.apache.hadoop.mapred.MapTask.run(MapTask.java:208)         at org.apache.hadoop.mapred.TaskTracker$Child.main(TaskTracker.java:2084)  08/03/24 23:10:18 INFO mapred.JobClient: Task Id : task_200803242306_0001_m_000000_1, Status : FAILED java.io.IOException: Copied: 0 Skipped: 0 Failed: 1         at org.apache.hadoop.util.CopyFiles$FSCopyFilesMapper.close(CopyFiles.java:448)         at org.apache.hadoop.mapred.MapRunner.run(MapRunner.java:53)         at org.apache.hadoop.mapred.MapTask.run(MapTask.java:208)         at org.apache.hadoop.mapred.TaskTracker$Child.main(TaskTracker.java:2084)  08/03/24 23:10:33 INFO mapred.JobClient: Task Id : task_200803242306_0001_m_000000_2, Status : FAILED java.io.IOException: Copied: 0 Skipped: 0 Failed: 1         at org.apache.hadoop.util.CopyFiles$FSCopyFilesMapper.close(CopyFiles.java:448)         at org.apache.hadoop.mapred.MapRunner.run(MapRunner.java:53)         at org.apache.hadoop.mapred.MapTask.run(MapTask.java:208)         at org.apache.hadoop.mapred.TaskTracker$Child.main(TaskTracker.java:2084)  ^@08/03/24 23:10:48 INFO mapred.JobClient:  map 100% reduce 100% With failures, global counters are inaccurate; consider running with -i Copy failed: java.io.IOException: Job failed!         at org.apache.hadoop.mapred.JobClient.runJob(JobClient.java:894)         at org.apache.hadoop.util.CopyFiles.copy(CopyFiles.java:526)         at org.apache.hadoop.util.CopyFiles.run(CopyFiles.java:596)         at org.apache.hadoop.util.ToolRunner.run(ToolRunner.java:65)         at org.apache.hadoop.util.ToolRunner.run(ToolRunner.java:79)         at org.apache.hadoop.util.CopyFiles.main(CopyFiles.java:612)",util
pushMetric() method of various metric util classes should catch exceptions," pushMetric() method of various metric util classes should catch exception. Otherwise, any misconfigured metric will cause the entire metric data not sent out. ",metrics
"Show counter values from ""job -status"" command","It would be useful if the ""job -status"" command showed counter values, like the JobClient does (when the job has completed).",scripts
BytesWritable.toString prints bytes above 0x80 as FFFFFF80,The printing of BytesWritable as a series of bytes does the wrong thing with negative bytes and expands them out to 32 bits before printing them.,io
Validating input paths and creating splits is slow on S3,"A call to listPaths on S3FileSystem results in an S3 access for each file in the directory being queried. If the input contains hundreds or thousands of files this is prohibitively slow. This method is called in FileInputFormat.validateInput and FileInputFormat.getSplits. This would be easy to fix by overriding listPaths (all four variants) in S3FileSystem to not use listStatus which creates a FileStatus object for each subpath. However, listPaths is deprecated in favour of listStatus so this might be OK as a short term measure, but not longer term.  But it gets worse: FileInputFormat.getSplits goes on to access S3 a further six times for each input file via these calls:  1. fs.isDirectory 2. fs.exists 3. fs.getLength 4. fs.getLength 5. fs.exists (from fs.getFileBlockLocations) 6. fs.getBlockSize  So it would be best to change getSplits to use listStatus, and only access S3 once for each file. (This would help HDFS too.) This change would require some care since FileInputFormat has a protected method listPaths which subclasses can override (although, in passing I notice validateInput doesn't use listPaths - is this a bug?).  For input validation, one approach would be to disable it for S3 by creating a custom FileInputFormat. In this case, missing files would be detected during split generation. Alternatively, it may be possible to cache the input paths between validateInput and getSplits.","fs,fs/s3"
Improve documentation about the Task Execution Environment in the Map-Reduce tutorial,We should improve the 'Task Execution & Environment' section in the Map-Reduce tutorial with information missing from http://wiki.apache.org/hadoop/TaskExecutionEnvironment.,documentation
"dfs -chown does not like ""_"" underscore in user name",":~$ hadoop dfs -chown aaa_bbb  /user/knoguchi/test.txt chown: 'aaa_bbb' does not match expected pattern for [owner][:group].  in 0.16.1, only alphabets and numbers are allowed.  Shouldn't '_' be allowed?  I couldn't find any standard, but in Solaris10, it's defined as   http://docs.sun.com/app/docs/doc/816-5174/6mbb98uhg?a=view  bq. The login (login) and role (role) fields accept a string of no more than eight bytes consisting of characters from the set of alphabetic characters, numeric characters, period (.), underscore (_), and hyphen (-). The first character should be alphabetic and the field should contain at least one lower case alphabetic character. A warning message is displayed if these restrictions are not met.  ",fs
"Need new options in distcp for preserving ower, group and permission","Currently, distcp -p preserves replication# and block size.  Since permissions are introduced, distcp should provide options for preserving ower, group and permission.",util
Develop tests to test the DFS command line interface,Develop tests to test the DFS command line interface. The DFS commands to test are:             [-ls <path>]            [-lsr <path>]            [-du <path>]            [-dus <path>]            [-mv <src> <dst>]            [-cp <src> <dst>]            [-rm <path>]            [-rmr <path>]            [-expunge]            [-put <localsrc> <dst>]            [-copyFromLocal <localsrc> <dst>]            [-moveFromLocal <localsrc> <dst>]            [-get [-crc] <src> <localdst>]            [-getmerge <src> <localdst> [addnl]]            [-cat <src>]            [-copyToLocal [-crc] <src> <localdst>]            [-moveToLocal [-crc] <src> <localdst>]            [-mkdir <path>]            [-setrep [-R] [-w] <rep> <path/file>]            [-touchz <path>]            [-test -[ezd] <path>]            [-stat [format] <path>]            [-tail [-f] <file>],test
[HOD] Hadoop.tmp.dir should not be set to cluster directory,"Currently HOD generates  hadoop.tmp.dir pointing to the cluster directory(hod.clusterdir), which users typically create in their home directories. This hadoop.tmp.dir is used on the client side when a jar is run(org/apache/hadoop/util/RunJar.java). The user home directories might be NFS mounted in some environments, which might result in a hit, for example when running a jar.  So, HOD *should not* generate hadoop.tmp.dir pointing to cluster directory. Instead, it should use hod.temp-dir, which *is* the location that dfs.client.buffer.dir uses to alleviate any such NFS hit problems. Further, though currently hadoop.tmp.dir is not used on hadoop daemons side, it would be good if HOD generates it on daemons side too, and thus preclude any related problems in future.",contrib/hod
